camarapk,nome,UFNasc,UFAtuacao,codinomes,partidos,profissoes,cargos,legislaturas,foto,veja,politicosorg,wiki,curriculo,votocunha,urls,outros
189174,Junji Abe,SP,,Junji Abe,"PL,PSD",Empresário Rural e Consultor,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189174&tipo=0,
189175,Luiz Fernando Arantes Machado,MG,,Luiz Fernando Machado,PSDB,,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189175&tipo=0,
189176,Marcelo Theodoro de Aguiar,SP,,Marcelo Aguiar,PSD,Músico,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189176&tipo=0,
189177,Marco Antonio Feliciano,SP,,Pr. Marco Feliciano,PSC,"Empresário, Pastor Evangélico e Conferencista",,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189177&tipo=0,
189178,Newton Lima Neto,SP,,Newton Lima,PT,Professor Universitário,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189178&tipo=0,
189179,Otoniel Carlos de Lima,SP,,Otoniel Lima,"PPB,PL,PR",,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189179&tipo=0,
189180,Paulo Roberto Freire da Costa,SP,,Paulo Freire,PR,Ministro do Evangelho,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189180&tipo=0,
189181,Protógenes Pinheiro de Queiroz,BA,,Delegado Protógenes,PCdoB,Delegado de Polícia Federal,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189181&tipo=0,
189182,Ricardo Izar Junior,SP,,Ricardo Izar,"PV,PSD,PP",Economista e Empresário,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189182&tipo=0,
189183,Roberto Alves de Lucena,SP,,Roberto De Lucena,PV,"Pastor Evangélico, Escritor e Conferencista",,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189183&tipo=0,
189184,Rodrigo Garcia,SP,,Rodrigo Garcia,DEM,Advogado e Empresário,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189184&tipo=0,
189187,Vicente Cândido da Silva,MG,,Vicente Candido,PT,Advogado e Comerciante,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189187&tipo=0,
189189,Cesar Hanna Halum,GO,,César Halum,PSD,Médico Veterinário,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189189&tipo=0,
189190,Irajá Silvestre Filho,GO,,Irajá Abreu,PSD,Empresário e Produtor Rural,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189190&tipo=0,
189191,Joseli Ângelo Agnolin,RS,,Ângelo Agnolin,PDT,Empresário,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189191&tipo=0,
189192,Maria Auxiliadora Seabra Rezende,GO,,Professora Dorinha Seabra Rezende,DEM,Professora Universitária,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189192&tipo=0,
189193,Raimundo Coimbra Júnior,TO,,Júnior Coimbra,"DEM,PMDB",Jornalista,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189193&tipo=0,
189194,Arthur César Pereira de Lira,AL,AL,Arthur Lira,"PMN,PP","Agropecuarista, Bacharel em Direito e Empresário",,54.55,,,http://www.politicos.org.br/arthur-cesar-pereira-de-lira,pt.wikipedia.org/wiki/Arthur_Lira,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189194&tipo=0,
189195,Vinicius de Azevedo Gurgel,AP,,Vinicius Gurgel,"PRTB,PR",Contador,,54.55,,,,,,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189195&tipo=0,
189196,Arthur de Oliveira Maia da Silva,BA,BA?,Arthur Oliveira Maia,SD,Advogado,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189196&tipo=0,
189197,Rui Costa Dos Santos,BA,,Rui Costa,PT,"Economista, Desenhista-Projetista e Técnico em Instrumentação Industrial",,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189197&tipo=0,
189198,José Antônio Machado Reguffe,RJ,,Reguffe,PDT,Economista e Jornalista,,54,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189198&tipo=0,
189199,Flávia Carreiro Albuquerque Morais,MG,,Flávia Morais,PDT,Professora de Educação Física,,54.55,,,,,,,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189199&tipo=0,
