"id","nome","UF","codinomes","partidos","profissoes","legislaturas","urls"
"98353","Robério Bezerra de Araújo","Boa Vista, RR","ROBÉRIO ARAÚJO - PL/RR","PDS, 1982-1985; PFL, 1985-1988; PSDB, 1989-1995; PPB, 1995-1999; PFL, 1997; PL, 1999-.","Médico","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98353&tipo=0"
"99942","José Perrella de Oliveira Costa","São Gonçalo do Pará, MG","ZEZÉ PERRELLA - PFL/MG","PFL, 1998-.","Empresário","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99942&tipo=0"
"178888","Carlos Victor Guterres Mendes","MA","Victor Mendes","PV,PMB,PSD","Advogado(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178888"
"98854","Oliveira Francisco da Silva","Cunha, SP","FRANCISCO SILVA - PST/RJ","PDC, 1988-1992; PST, 1992; PP, 1993-1995; PPB, 1995-1999; PST, 1999-2001; PL, 2001; PST, 2001-.","Empresário","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98854&tipo=0"
"178889","Jose Carlos Nunes Junior","MA","","PT","","","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178889"
"178886","Jose Juscelino Dos Santos Rezende Filho","MA","Juscelino Filho","PMB","Empresário,médico(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178886"
"178887","Rubens Pereira E Silva Junior","MA","Rubens Pereira Júnior","PCdoB","Advogado(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178887"
"178884","Hildo Augusto da Rocha Neto","MA","Hildo Rocha","PP,PHS,PEN","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178884"
"100655","João Alberto Fraga Silva","Estância, SE","ALBERTO FRAGA - DEM/DF","PMDB, 1998-2003; PTB, 2003-2005; PFL, 2005-2007; DEM, 2007-.","Coronel da Polícia Militar","52, 53, 55,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100655&tipo=0"
"178885","Antonio da Cruz Filgueira Junior","PE","Junior Marreca","PEN","Advogado(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178885"
"178882","Andre Luiz Carvalho Ribeiro","MA","","PEN,PP","","","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178882"
"178883","Eliziane Pereira Gama Ferreira","MA","Eliziane Gama","REDE","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178883"
"178880","Marcos Abrao Roriz Soares de Carvalho","GO","Marcos Abrão","PPS","Economista,empresário Na Área Pecuarista","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178880"
"178881","Aluisio Guimaraes Mendes Filho","MG","Aluisio Mendes","PSDC,PMB,PTN","Funcionário Público Federal","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178881"
"97821","José Saraiva Felipe","MG","Saraiva Felipe","MDB,PMDB","Médico e Professor Universitário","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97821&tipo=0"
"109004","Hélio Borges de Sousa Esteves Filho","Macapá, AP","HÉLIO ESTEVES - PT/AP","PT, 1998-.","Bacharel em Direito, Engenheiro Eletricista e Licenciatura Plena em Matemática","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109004&tipo=0"
"108153","Irapuan Teixeira","Porto Alegre, RS","PROFESSOR IRAPUAN TEIXEIRA - PP/SP","PRONA, 1989-2003; PP, 2003-.","Professor Universitário, Radialista, Professor de Ensino Médio, Psicanalista Clínico, Secretário Executivo e Consultor Educacional","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108153&tipo=0"
"96971","Aroldo Cedraz de Oliveira","Valente, BA","AROLDO CEDRAZ - PFL/BA","MDB, 1974-1979; PMDB, 1980-1989; PRN, 1989-1993; PFL, 1993-.","Professor Universitário, Empresário e Médico Veterinário","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96971&tipo=0"
"109000","Luiz Albuquerque Couto","PB","Luiz Couto","PT","Professor Universitário e Sacerdote Católico","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109000&tipo=0"
"162058","Leandro José Mendes Sampaio Fernandes","Petrópolis, RJ","LEANDRO SAMPAIO - PPS/RJ","PMDB, 1988-1994; PSDB, 1994-2001; PMDB, 2001-2005; PPS, 2005-.","Engenheiro Agrônomo","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=162058&tipo=0"
"99713","Marcos Afonso Pontes de Souza","Rio Branco, AC","MARCOS AFONSO - PT/AC","PCdoB, 1980-1995; PT, 1995-.","Jornalista e Professor","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99713&tipo=0"
"178879","Lucas de Castro Santos","GO","Lucas Vergilio","SD","Administrador de Empresas,corretor de Seguros","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178879"
"178877","Fabio Fernandes de Sousa","GO","Fábio Sousa","PSDB","Apresentador de Televisão,gestor Público,pastor,radialista","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178877"
"100763","Rainel Barbosa Araújo","Porto Nacional, TO","RAINEL BARBOSA - PMDB/TO","PFL, 1989-1990; PDT, 1992-1994; PSDB, 1996-1998; PMDB, 1998-.","Professor","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100763&tipo=0"
"178878","Giuseppe Vecci","GO","Giuseppe Vecci","PSDB","Economista","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178878"
"178875","Alexandre Baldy de Sant'Anna Braga","GO","Alexandre Baldy","PTN","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178875"
"178876","Celio Antonio da Silveira","GO","Célio Silveira","PSDB","Médico(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178876"
"178873","Helder Ignacio Salomao","ES","Helder Salomão","PT","Professor(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178873"
"178874","Antonio Sergio Alves Vidigal","ES","Sergio Vidigal","PDT","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178874"
"178871","Evair Vieira de Melo","ES","Evair Vieira De Melo","PV","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178871"
"146829","Fabiano Taques Horta","RJ","Fabiano Horta","PT","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=146829"
"178872","Givaldo Vieira da Silva","ES","Givaldo Vieira","PT","Advogado(a)","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178872"
"96783","Airton Langaro Dipp","Passo Fundo, RS","AIRTON DIPP - PDT/RS","PDT, 1981-.","Engenheiro Civil","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96783&tipo=0"
