camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
100360		Airton Bernardo Roveda	Airton Roveda		PR		PMDB,PDT,PFL,PSDB,PTB,PMDB,PTB,PPS,PR	Comerciante e Minerador		52,53					Peculato	http://www.camara.gov.br/internet/deputado/bandep/73457.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100360&tipo=0	
		André Luiz De Carvalho Ribeiro		MA			PP		Câmara	55				https://pt.wikipedia.org/wiki/Andr%C3%A9_Fufuca	Aliado de Cunha			http://www.camara.leg.br/internet/deputado/Dep_Detalhe.asp?id=5830768
http://mapa.vemprarua.net/ma/deputado-andre-fufuca.html
https://www.votenaweb.com.br/politicos/andre.fufuca
100347		Iris Xavier Simões	Íris Simões		PR		PL,PPB,PSDB,PTB,PR	Radialista		52,53						http://www.camara.gov.br/internet/deputado/bandep/73461.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100347&tipo=0	
100385		José Carlos de Castro Martinez	José Carlos Martinez		SP		PDS,PMDB,PRN,PTB	Administrador de Empresas		52						http://www.camara.gov.br/internet/deputado/bandep/73462.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100385&tipo=0	
100314		Rubens Bueno	Rubens Bueno		PR		MDB,PMDB,PSDB,PPS	Professor		54,55						http://www.camara.gov.br/internet/deputado/bandep/73466.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100314&tipo=0	
100332		Joaquim Dos Santos Filho	Santos Filho		PR		PSD,ARENA,PDS,PFL	Advogado								http://www.camara.gov.br/internet/deputado/bandep/73467.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100332&tipo=0	
99977		Antônio Carlos Konder Reis	Antônio Carlos		SC		UDN,ARENA,PDS,PPR,PPB,PFL	Advogado, Economista e Museólogo								http://www.camara.gov.br/internet/deputado/bandep/73468.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99977&tipo=0	
99960		Gervásio José da Silva	Gervásio Silva		SC		PDS,PL,PFL,DEM,PSDB	Empresário, Contador e Corretor de Imóveis		52,53						http://www.camara.gov.br/internet/deputado/bandep/73472.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99960&tipo=0	
99337		Roberto Argenta	Roberto Argenta		RS		MDB,PMDB,PFL,PHS	Empresário								http://www.camara.gov.br/internet/deputado/bandep/73487.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99337&tipo=0	
