camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
99113		Moacir Micheletto	Moacir Micheletto		SC		PMDB,ARENA,PP	Engenheiro Agrônomo, Administrador Rural e Extensionista Agrícola		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74238.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99113&tipo=0	
99133		Mário Assad Júnior	Mário Assad Júnior		MG		PFL,PL,PSB	Advogado		52						http://www.camara.gov.br/internet/deputado/bandep/74329.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99133&tipo=0	
99154		Pedro Fernandes Ribeiro	Pedro Fernandes		MA		PSD	Engenheiro Civil e Bancário		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74449.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99154&tipo=0	
99162		José Antonio Figueiredo de Almeida Silva	José Antonio Almeida		MA		PSB	Advogado e Professor Universitário								http://www.camara.gov.br/internet/deputado/bandep/74446.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99162&tipo=0	
99169		Nice Lobão	Nice Lobão		PE		PST,PSD	Servidora Pública		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74447.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99169&tipo=0	
99184		Eduardo Seabra da Costa	Eduardo Seabra		PA		PL,PTB	Professor		52			http://www.politicos.org.br/eduardo-seabra		Sanguessugas (Escândalo das Ambulâncias)	http://www.camara.gov.br/internet/deputado/bandep/74344.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99184&tipo=0	
99191		Evandro Costa Milhomen	Evandro Milhomen		AP		PSB,PCdoB	Sociólogo		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74345.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99191&tipo=0	
99197		Hildemar Sousa de Azevedo Picanço	Badu Picanço		PA		PSDB,PL	Bacharel em Ciências Contábeis		52						http://www.camara.gov.br/internet/deputado/bandep/74342.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99197&tipo=0	
99202		Jurandil Dos Santos Juarez	Jurandil Juarez		PA		PMDB,PL,PMDB	Economista e Professor Universitário		52,53						http://www.camara.gov.br/internet/deputado/bandep/74346.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99202&tipo=0	
99210		Igor Pugliesi Avelino	Igor Avelino		GO		PMDB	Agropecuarista e Empresário								http://www.camara.gov.br/internet/deputado/bandep/74443.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99210&tipo=0	
99220		André Carlos Alves de Paula Filho	André De Paula		PE		PSD	Advogado		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74471.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99220&tipo=0	
101233		Cássio Rodrigues da Cunha Lima	Cássio Cunha Lima	PB	PB		PMDB	Advogado					http://www.politicos.org.br/cassio-rodrigues-da-cunha-lima	pt.wikipedia.org/wiki/Cássio_Cunha_Lima		http://www.camara.gov.br/internet/deputado/bandep/74406.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101233&tipo=0	
99236		Antonio Carlos Vieira Dos Santos	Carlos Batata		PE		PSB,PSDB,PFL	Agropecuarista e Médico Veterinário		52						http://www.camara.gov.br/internet/deputado/bandep/74473.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99236&tipo=0	
99246		Carlos Eduardo Cintra da Costa Pereira	Carlos Eduardo Cadoca		PE		sp	Advogado		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74474.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99246&tipo=0	
99254		Clementino de Souza Coelho	Clementino Coelho		PE		PMDB,PSB,PSB	Administrador de Empresas e Empresário								http://www.camara.gov.br/internet/deputado/bandep/74475.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99254&tipo=0	
99262		Djalma Souto Maior Paes Júnior	Djalma Paes		PE		PMDB,PSB	Advogado								http://www.camara.gov.br/internet/deputado/bandep/74476.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99262&tipo=0	
99268		Luciano Caldas Bivar	Luciano Bivar		PE		PL,PSL	Administrador de Empresas, Bacharel em Direito, Empresário e Segurador								http://www.camara.gov.br/internet/deputado/bandep/74478.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99268&tipo=0	
			Cássio Taniguchi										http://www.politicos.org.br/cassio-taniguchi	pt.wikipedia.org/wiki/Cássio_Taniguchi				
99287		Cezar Augusto Schirmer	Cezar Schirmer		RS		MDB,PMDB	Advogado e Professor Universitário		52,53						http://www.camara.gov.br/internet/deputado/bandep/73480.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99287&tipo=0	
99294		Darci Pompeo de Mattos	Pompeo De Mattos		RS		MDB,PDT	Advogado e Bancário		52,53,55						http://www.camara.gov.br/internet/deputado/bandep/73486.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99294&tipo=0	
97082		Celso Ubirajara Russomanno	Celso Russomanno	SP	SP		PFL,PSDB,PP,PRB	Apresentador de Televisão, Repórter e Bacharel Em Direito		52,53,55			http://www.politicos.org.br/celso-ubirajara-russomanno	pt.wikipedia.org/wiki/Celso_Russomanno		http://www.camara.gov.br/internet/deputado/bandep/73441.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97082&tipo=0	
99306		Henrique Fontana Júnior	Henrique Fontana		RS		PT	Médico e Administrador de Empresas		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/73482.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99306&tipo=0	
			Cesar Epitácio Maia	RJ			DEM					http://veja.abril.com.br/infograficos/rede-escandalos/perfil/epitacio-cafeteira.shtml		pt.wikipedia.org/wiki/Cesar_Maia				
99319		Luiz Carlos Repiso Riela	Caio Riela		RS		PDT,PTB	Advogado								http://www.camara.gov.br/internet/deputado/bandep/73479.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99319&tipo=0	
			César Souza Junior										http://www.politicos.org.br/cesar-souza-junior	pt.wikipedia.org/wiki/César_Souza_Júnior	Arquivo 7, p. 8			
99330		Marcos Flávio Rolim	Marcos Rolim		RS		MDB,PMDB,PT	Jornalista								http://www.camara.gov.br/internet/deputado/bandep/73484.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99330&tipo=0	
99349		Airton Antonio Soligo	Airton Cascavel		PR		PTB,PPB,PPS	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74340.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99349&tipo=0	
99362		Celcita Rosa Pinheiro da Silva	Celcita Pinheiro		MT		PFL	Professora		52,53		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/celcita-pinheiro.shtml?scrollto=conteudo-rede				http://www.camara.gov.br/internet/deputado/bandep/74799.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99362&tipo=0	
99368		Alceu de Deus Collares	Alceu Collares		RS		PTB,MDB,PDT	Advogado e Funcionário Público		52						http://www.camara.gov.br/internet/deputado/bandep/73477.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99368&tipo=0	
99394		Marcelo Costa e Castro	Marcelo Castro		PI		PPR	Médico		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74460.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99394&tipo=0	
99403		Themístocles de Sampaio Pereira	Themístocles Sampaio		PI		MDB,PMDB	Agricultor, Advogado e Pecuarista		53						http://www.camara.gov.br/internet/deputado/bandep/74461.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99403&tipo=0	
			Cícero Lucena Filho											pt.wikipedia.org/wiki/Cícero_Lucena				
99423		Francisco Garcia Rodrigues	Francisco Garcia		AM		PFL,PPS,PP	Médico e Empresário		52						http://www.camara.gov.br/internet/deputado/bandep/74355.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99423&tipo=0	
97093		Ciro Nogueira Lima Filho	Ciro Nogueira		PI		PFL,PP	Advogado		52,53				pt.wikipedia.org/wiki/Ciro_Nogueira	Crime Contra a Ordem Tributária e Prevaricação	http://www.camara.gov.br/internet/deputado/bandep/74313.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97093&tipo=0	
		Clóvis Antônio Chaves Fecury		MA			DEM		Câmara	53			http://www.politicos.org.br/clovis-antonio-chaves-fecury	pt.wikipedia.org/wiki/Clóvis_Fecury	Crime Contra a Ordem Tributária			
99444		Geraldo Simões de Oliveira	Geraldo Simões		BA		PT	Administrador de Empresas, Técnico Agrícola e Funcionário Público Federal		53,54						http://www.camara.gov.br/internet/deputado/bandep/74566.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99444&tipo=0	
99452		Gerson Silva Gabrielli	Gerson Gabrielli		BA		PFL	Empresário		52						http://www.camara.gov.br/internet/deputado/bandep/74567.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99452&tipo=0	
99462		José Ronaldo de Carvalho	José Ronaldo		BA		PDS,PFL	Administrador de Empresas e Professor								http://www.camara.gov.br/internet/deputado/bandep/74569.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99462&tipo=0	
97124		Coriolano Sousa Sales	Coriolano Sales		BA		PMDB,PSB,PDT,PMDB,PFL	Advogado		52		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/coriolano-sales.shtml?scrollto=conteudo-rede	http://www.politicos.org.br/coriolano-sales	pt.wikipedia.org/wiki/Coriolano_Sales	Sanguessugas (Escândalo das Ambulâncias)	http://www.camara.gov.br/internet/deputado/bandep/74538.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97124&tipo=0	
99475		Nelson Vicente Portela Pellegrino	Nelson Pellegrino		BA		PT	Advogado		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74571.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99475&tipo=0	
99479		Nilo Augusto Moraes Coelho	Nilo Coelho		BA		ARENA,PMDB,PSDB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74572.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99479&tipo=0	
161224		Cristiano Matheus da Silva E Sousa	Cristiano Matheus	AL	SP		PFL,PMDB	Radialista		53			http://www.politicos.org.br/cristiano-matheus-da-silva-e-sousa	pt.wikipedia.org/wiki/Cristiano_Mateus_da_Silva_e_Sousa		http://www.camara.gov.br/internet/deputado/bandep/141410.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161224&tipo=0	
99491		Saulo Pedrosa de Almeida	Saulo Pedrosa		BA		PMDB,PSDB	Agropecuarista e Médico								http://www.camara.gov.br/internet/deputado/bandep/74575.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99491&tipo=0	
99504		Francistônio Alves Pinto	Francistônio Pinto		MG		PMDB,PFL	Pecuarista								http://www.camara.gov.br/internet/deputado/bandep/74565.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99504&tipo=0	
99514		Vivaldo Vieira Barbosa	Vivaldo Barbosa		MG		PDT	Advogado e Professor								http://www.camara.gov.br/internet/deputado/bandep/74694.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99514&tipo=0	
			Daniel Pires Coelho	PE			PSDB		Câmara	55			http://www.politicos.org.br/daniel-pires-coelho	pt.wikipedia.org/wiki/Daniel_Coelho				
99538		José Maurício Rodrigues Garcia	Coronel Garcia		RJ		PSDB	Militar								http://www.camara.gov.br/internet/deputado/bandep/74678.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99538&tipo=0	
99555		João Carlos de Almeida Sampaio	João Sampaio		RJ		PDT	Professor Universitário, Arquiteto e Urbanista								http://www.camara.gov.br/internet/deputado/bandep/74685.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99555&tipo=0	
		Darcisio Paulo Perondi		RS			PMDB		Câmara	55			http://www.politicos.org.br/darcisio-paulo-perondi	pt.wikipedia.org/wiki/Darcísio_Perondi	Improbidade Administrativa			
107315		David Samuel Alcolumbre Tobelem	Davi Alcolumbre	AP	AP		DEM,PDT,PFL	Comerciante		52,53,54			http://www.politicos.org.br/david-samuel-alcolumbre-tobelem	pt.wikipedia.org/wiki/Davi_Alcolumbre		http://www.camara.gov.br/internet/deputado/bandep/73924.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=107315&tipo=0	
		Delcídio Do Amaral Gómez		MS			PT		Senador	54			http://www.politicos.org.br/delcidio-do-amaral-gomez	pt.wikipedia.org/wiki/Delcídio_do_Amaral				
		Delúbio Soares De Castro										http://veja.abril.com.br/infograficos/rede-escandalos/perfil/delubio-soares.shtml?scrollto=conteudo-rede		pt.wikipedia.org/wiki/Delúbio_Soares	Ex Tesoureiro do PT			
99610		Sérgio Siqueira de Carvalho	Sérgio Carvalho		PR		PMDB,PSDB	Médico		52						http://www.camara.gov.br/internet/deputado/bandep/74360.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99610&tipo=0	
99614		Eber Silva	Eber Silva		RJ		PDT,PST,PL,PST	Professor e Pastor Batista								http://www.camara.gov.br/internet/deputado/bandep/74682.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99614&tipo=0	
99624		Waldir Artur Schmidt	Waldir Schmidt		RS		MDB,PMDB	Empresário, Técnico em Contabilidade e Corretor de Imóveis								http://www.camara.gov.br/internet/deputado/bandep/73489.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99624&tipo=0	
99630		Leonardo Rosário de Alcântara	Leo Alcântara		CE		PSDB,PR	Advogado e Empresário		52,53						http://www.camara.gov.br/internet/deputado/bandep/74455.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99630&tipo=0	
99635		Antonio Elbano Cambraia	Antonio Cambraia		CE		PMDB,PSDB	Economista, Professor Universitário e Administrador Público		52						http://www.camara.gov.br/internet/deputado/bandep/74452.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99635&tipo=0	
99642		Francisco Feitosa de Albuquerque Lima	Chiquinho Feitosa		CE		PSDB	Agropecuarista e Empresário								http://www.camara.gov.br/internet/deputado/bandep/74453.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99642&tipo=0	
99655		Adolfo de Marinho Pontes	Adolfo Marinho		CE		PSDB	Engenheiro								http://www.camara.gov.br/internet/deputado/bandep/74450.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99655&tipo=0	
99658		Aluisio Sérgio Novais Eleutério	Sérgio Novais		CE		PSB	Engenheiro Químico								http://www.camara.gov.br/internet/deputado/bandep/74458.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99658&tipo=0	
99664		Eunício Lopes de Oliveira	Eunício Oliveira		CE		MDB,PMDB	Agropecuarista e Empresário		52,53						http://www.camara.gov.br/internet/deputado/bandep/74454.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99664&tipo=0	
99672		Manoel Salviano Sobrinho	Manoel Salviano		CE		PSD	Industrial e Médico		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74456.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99672&tipo=0	
99679		Moroni Bing Torgan	Moroni Torgan		RS		PDC,PSDB,PFL	Delegado de Polícia Federal		52,55						http://www.camara.gov.br/internet/deputado/bandep/74457.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99679&tipo=0	
99685		Hildebrando Pascoal Nogueira Neto	Hildebrando Pascoal		AC		PFL	Militar								http://www.camara.gov.br/internet/deputado/bandep/74361.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99685&tipo=0	
99691		Ildefonço Rodrigues Cordeiro	Ildefonço Cordeiro		AC		PFL,PSDB	Comerciante								http://www.camara.gov.br/internet/deputado/bandep/74362.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99691&tipo=0	
99703		Márcio Miguel Bittar	Marcio Bittar		SP		PMDB,PSDB,PPS	Agropecuarista		54						http://www.camara.gov.br/internet/deputado/bandep/74363.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99703&tipo=0	
99713		Marcos Afonso Pontes de Souza	Marcos Afonso		AC		PCdoB,PT	Jornalista e Professor								http://www.camara.gov.br/internet/deputado/bandep/74364.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99713&tipo=0	
99717		Nilson Moura Leite Mourão	Nilson Mourão		AC		PT	Professor Universitário		52,53						http://www.camara.gov.br/internet/deputado/bandep/74365.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99717&tipo=0	
99724		Sérgio Sebastião de Barros	Sérgio Barros		SP		PDT,PSDB	Agropecuarista, Empresário e Engenheiro Agrimensor								http://www.camara.gov.br/internet/deputado/bandep/74442.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99724&tipo=0	
99731		Augusto do Prado Franco Neto	Augusto Franco		SE		PSDB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74561.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99731&tipo=0	
99734		José Ivan de Carvalho Paixão	Ivan Paixão		SE		PPS	Médico		52						http://www.camara.gov.br/internet/deputado/bandep/74562.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99734&tipo=0	
99741		Jorge Alberto Teles Prado	Jorge Alberto		SE		PRN,PMDB	Médico		52,53						http://www.camara.gov.br/internet/deputado/bandep/74563.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99741&tipo=0	
99756		Ronaldo Ramos Caiado	Ronaldo Caiado		GO		PDC,PSD	Médico, Professor e Produtor Rural		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74813.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99756&tipo=0	
99764		Euler Lázaro de Morais	Euler Morais		MG		PMDB	Economista e Servidor Público								http://www.camara.gov.br/internet/deputado/bandep/74807.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99764&tipo=0	
99770		Geovan Freitas Carvalho	Geovan Freitas		GO		PMDB,PL,PMDB	Advogado								http://www.camara.gov.br/internet/deputado/bandep/74808.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99770&tipo=0	
99776		José Francisco Das Neves	Juquinha		GO		PMDB,PSDB,PL	Professor e Engenheiro Eletricista								http://www.camara.gov.br/internet/deputado/bandep/74809.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99776&tipo=0	
99783		Luiz José Bittencourt	Luiz Bittencourt		GO		PDC,PMDB	Engenheiro Civil e Professor Universitário		52,53						http://www.camara.gov.br/internet/deputado/bandep/74810.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99783&tipo=0	
		Demóstenes Lázaro Xavier Torres		GO			sp		Senado	54		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/demostenes-torres.shtml?scrollto=conteudo-rede	http://www.politicos.org.br/demostenes-lazaro-xavier-torres	pt.wikipedia.org/wiki/Demóstenes_Torres	Ligações com Carlinhos   Cachoeira (envolvimento com o jogo do bicho)
Arquivo 9, p. 16			
99805		Norberto José Teixeira	Norberto Teixeira		SP		PMDB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74811.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99805&tipo=0	
99812		Agnaldo Muniz	Agnaldo Muniz		PR		PDT,PPS,PP,PSC	Advogado		52,53						http://www.camara.gov.br/internet/deputado/bandep/74358.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99812&tipo=0	
99816		Nilton Balbino	Nilton Capixaba		MG		PTB,PFL	Empresário		52,54,55		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/nilton-capixaba.shtml?scrollto=conteudo-rede			Sanguessugas (Escândalo das Ambulâncias)	http://www.camara.gov.br/internet/deputado/bandep/74359.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99816&tipo=0	
99838		Custódio Antônio de Mattos	Custódio Mattos		MG		PMDB,PSDB	Servidor Público		52,53						http://www.camara.gov.br/internet/deputado/bandep/74579.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99838&tipo=0	
99844		Edmar Batista Moreira	Edmar Moreira		MG		PRN,PPB,PL,PR	Empresário e Produtor Rural		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74580.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99844&tipo=0	
99850		Gilmar Alves Machado	Gilmar Machado		MG		PT	Professor de História		52,53,54						http://www.camara.gov.br/internet/deputado/bandep/74581.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99850&tipo=0	
99856		Glycon Terra Pinto Junior	Glycon Terra Pinto		MG		PPB,PL,PMDB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74582.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99856&tipo=0	
99879		Lincoln Diniz Portela	Lincoln Portela		MG		PST,PSL,PL,PR	Radialista, Apresentador de Televisão e Conferencista		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74585.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99879&tipo=0	
99885		Walfrido Silvino Dos Mares Guia Neto	Walfrido Mares Guia		MG		PMDB,PRS,PTB	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74668.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99885&tipo=0	
99891		Maria do Carmo Lara Perpétuo	Maria Do Carmo Lara		MG		PT	Professora e Psicóloga		52,53					Arquivo 6, p. 8	http://www.camara.gov.br/internet/deputado/bandep/74586.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99891&tipo=0	
99897		Maria Lúcia Cardoso	Maria Lúcia Cardoso		MG		PMDB	Professora, Diretora de Empresas e Empresária		52,53						http://www.camara.gov.br/internet/deputado/bandep/74587.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99897&tipo=0	
99903		Olimpio Pires Guerra	Olimpio Pires		MG		PDT	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74588.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99903&tipo=0	
99907		João Pimenta da Veiga Filho	Pimenta Da Veiga		MG		MDB,PMDB,PSDB	Advogado								http://www.camara.gov.br/internet/deputado/bandep/74589.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99907&tipo=0	
99916		José Rafael Guerra Pinto Coelho	Rafael Guerra		MG		PSDB	Médico e Professor Universitário		52,53						http://www.camara.gov.br/internet/deputado/bandep/74590.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99916&tipo=0	
99938		Virgílio Guimarães de Paula	Virgílio Guimarães		MG		PT	Economista		52,53						http://www.camara.gov.br/internet/deputado/bandep/74593.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99938&tipo=0	
99942		José Perrella de Oliveira Costa	Zezé Perrella		MG		PFL	Empresário								http://www.camara.gov.br/internet/deputado/bandep/74669.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99942&tipo=0	
97160		Dilceu João Sperafico	Dilceu Sperafico		RS		PPB,PP	Agropecuarista, Industrial, Bacharel em Direito e Filósofo		52,53,54,55				pt.wikipedia.org/wiki/Dilceu_Sperafico	Apropriação Indébita	http://www.camara.gov.br/internet/deputado/bandep/73768.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97160&tipo=0	
99954		Carlos Fernando Agustini	Fernando Coruja		SC		PFL,PDT,PPS	Médico e Professor		52,53						http://www.camara.gov.br/internet/deputado/bandep/73471.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99954&tipo=0	
99971		Eni José Voltolini	Eni Voltolini		SC		PDS,PPR,PPB	Administrador de Empresas e Engenheiro Agrônomo								http://www.camara.gov.br/internet/deputado/bandep/73470.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99971&tipo=0	
99980		Leodegar da Cunha Tiscoski	Leodegar Tiscoski		SC		PDS,PPR,PPB,PP	Engenheiro Civil e Professor		52						http://www.camara.gov.br/internet/deputado/bandep/73473.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99980&tipo=0	
99986		Luci Teresinha Koswoski Choinacki	Luci Choinacki		SC		PT	Agricultora		52,54						http://www.camara.gov.br/internet/deputado/bandep/73474.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99986&tipo=0	
99993		Renato de Mello Vianna	Renato Vianna		SC		MDB,PMDB	Advogado e Professor								http://www.camara.gov.br/internet/deputado/bandep/73475.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99993&tipo=0	
100000		Vicente Augusto Caropreso	Vicente Caropreso		SC		PSDB	Médico								http://www.camara.gov.br/internet/deputado/bandep/73476.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100000&tipo=0	
100022		Valdir Ganzer	Valdir Ganzer		RS		PT	Lavrador								http://www.camara.gov.br/internet/deputado/bandep/74348.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100022&tipo=0	
100028		Jorge Netto da Costa	Jorge Costa		PA		PMDB	Médico								http://www.camara.gov.br/internet/deputado/bandep/74350.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100028&tipo=0	
100046		Nilson Pinto de Oliveira	Nilson Pinto		PA		PT	Professor		52,53,54,55						http://www.camara.gov.br/internet/deputado/bandep/74352.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100046&tipo=0	
100052		Renildo Leal Santos	Renildo Leal		BA		PMDB,PTB	Médico								http://www.camara.gov.br/internet/deputado/bandep/74353.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100052&tipo=0	
